restaurant_name,restaurant_url,address,cuisine,latitude,longitude,logo_url
Cafe America,https://www.ordercafeamerica.com/,,"Bakery, BBQ, Coffee and Tea, Dessert, Hamburgers, Salads, Sandwiches",33.7151003,-117.8076501,"https://menufyproduction.imgix.net/637819151655266844+728069.png?auto=compress,format&h=1080&w=1920&fit=max"
India Kitchen,https://www.IndiaKitchenca.com/order/,,"Chicken, Curry, Indian",33.7325259,-117.8169669,"https://menufyproduction.imgix.net/638627122083899698+1551035.png?auto=compress,format&h=1080&w=1920&fit=max"
CENTRO,https://www.OrderCentro.com/,,"Italian, Mediterranean, Pizza, Salads, Sandwiches",33.7419795,-117.8231586,"https://menufyproduction.imgix.net/638096626329449426+1033628.png?auto=compress,format&h=1080&w=1920&fit=max"
CENTRO STORICO,https://www.OrderCentroStorico.com/,,"Coffee and Tea, Dessert, Fish, Italian, Mediterranean, Pasta, Salads",33.74181,-117.8234444,"https://menufyproduction.imgix.net/637314200723116573+247055.png?auto=compress,format&h=1080&w=1920&fit=max"
Ameci Pizza Kitchen,https://www.AmeciPizzaKitchenTustin.com/,,"Calzones, Chicken, Dessert, Pasta, Pizza, Salads, Subs, Wings",33.745212,-117.8175679,"https://menufyproduction.imgix.net/637269712332391251+218486.png?auto=compress,format&h=1080&w=1920&fit=max"
NIKIS Halal Grill & KARAHI,https://www.NikisHalalGrillandKarahi.com/order/,,"Chicken, Curry, Dessert, Indian, Vegetarian",33.7464357,-117.8377217,"https://menufyproduction.imgix.net/638354839600720092+1269971.png?auto=compress,format&h=1080&w=1920&fit=max"
KPB Asian Bistro,https://www.KPBAsianBistroTustinCA.com/,,"Asian, Chinese, Curry",33.7463325,-117.8242281,"https://menufyproduction.imgix.net/637623165891486750+511650.png?auto=compress,format&h=1080&w=1920&fit=max"
